ts,y_true,y_pred,sev_true,sev_pred,severity_gap,water_temp,ph_sensor,ec_value,tds_ppm,do_est
2026-01-06 16:25:00,SIAGA,DARURAT,2,3,-1,20.01,9.21,17.85,2.78,3.69
2026-01-06 22:00:00,SIAGA,WASPADA,2,1,1,32.87,5.52,14.93,0.0,4.0
