image_id,dataset_source,dataset_subset,image_file,file_md5,width,height,roi_method,roi_x,roi_y,roi_w,roi_h,n_sample_patches,pH_actual,brightness,contrast,blur_score,roi_pixels,roi_brightness,roi_colourless_frac,roi_quality,quality_reasons,R_mean,R_std,G_mean,G_std,B_mean,B_std,rn_mean,rn_std,gn_mean,gn_std,bn_mean,bn_std,H_mean,H_std,S_mean,S_std,V_mean,V_std,L_mean,L_std,a_mean,a_std,blab_mean,blab_std,n_R_mean,n_R_std,n_G_mean,n_G_std,n_B_mean,n_B_std,n_rn_mean,n_rn_std,n_gn_mean,n_gn_std,n_bn_mean,n_bn_std,n_H_mean,n_H_std,n_S_mean,n_S_std,n_V_mean,n_V_std,n_L_mean,n_L_std,n_a_mean,n_a_std,n_blab_mean,n_blab_std,ref_B,ref_G,ref_R,reference_source,has_reference,phone_id,lighting,sample_id
A_pH_test_dataset/benchmark_test/32.jpg,A_pH_test_dataset,benchmark_test,32.jpg,76777171aad09195fe4b157a1b2865a1,282,501,dataset_annotation,126,193,8,15,1,6.293,130.92044988038108,81.96366661365573,615.2488229664513,120,211.2,0.0,GOOD,,233.2,1.6051998837112673,231.05833333333334,1.5668218008298058,51.291666666666664,2.4474334629475742,0.45234929734796314,0.0017961180413383915,0.44819664272647197,0.002086405870083401,0.09945405798568258,0.0038366769745468974,30.0,0.0,198.81666666666666,2.3769144330880363,233.2,1.6051998837112673,228.01666666666668,1.4943411777621451,110.0,0.0,207.88333333333333,0.4506168611531925,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,,
A_pH_test_dataset/benchmark_test/33.jpg,A_pH_test_dataset,benchmark_test,33.jpg,0a645531c559cc427f9ff19bed13e6db,282,501,dataset_annotation,126,193,8,15,1,6.293,131.02663467391457,81.90662944430609,604.0268910196204,120,209.58333333333334,0.0,GOOD,,232.05,1.7216755404740656,229.28333333333333,1.7135894750169562,50.5,1.707825127659933,0.453380973598465,0.0017851603030558279,0.4479757115726402,0.0018690213763321443,0.09864331287496374,0.002452561941467764,29.766666666666666,0.42295258468165065,199.50833333333333,1.602060305426179,232.05,1.7216755404740656,226.51666666666668,1.581050986597909,110.29166666666667,0.5685630034471895,207.55833333333334,0.496585563847986,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,,
A_pH_test_dataset/benchmark_test/34.jpg,A_pH_test_dataset,benchmark_test,34.jpg,386809cd36807e5e1776286d2504db2a,282,501,dataset_annotation,127,193,8,15,1,6.293,131.05045228691554,82.14221646974083,559.3971290384817,120,210.44166666666666,0.0,GOOD,,233.19166666666666,1.539999098123834,230.06666666666666,1.9524912860809962,50.44166666666667,2.163314714865952,0.45396220923314473,0.0021160578269650665,0.44787316531290317,0.0022612496814306752,0.09816462350710359,0.0033326592698435437,29.625,0.4841229182759271,199.71666666666667,1.99241617696259,233.19166666666666,1.539999098123834,227.375,1.5387359530905014,110.36666666666666,0.4988876515698589,207.99166666666667,0.4563593856697688,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,,
A_pH_test_dataset/benchmark_test/35.jpg,A_pH_test_dataset,benchmark_test,35.jpg,d73a9f0c66c943d0ee0e573d0bcbd3dc,282,501,dataset_annotation,125,195,8,15,1,5.943,131.929870754944,82.12161680389661,611.8821256443388,120,213.91666666666666,0.0,GOOD,,249.95,1.6168384788427899,227.48333333333332,1.5915575878853885,47.958333333333336,2.712304780481394,0.475761210059911,0.0024843829920986726,0.4329974940426569,0.0025202333711599042,0.09124129399389572,0.004288608433327564,26.891666666666666,0.3108009366495253,206.09166666666667,2.626771888755389,249.95,1.6168384788427899,228.95833333333334,1.2206271156891262,118.475,0.7066647012551284,209.59166666666667,0.5700268024887564,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,,
A_pH_test_dataset/benchmark_test/36.jpg,A_pH_test_dataset,benchmark_test,36.jpg,733b748b54b018cdfc4ab4240da33963,282,501,dataset_annotation,124,194,8,15,1,5.943,130.9987896547331,82.00501916224015,608.7163124467058,120,213.21666666666667,0.0,GOOD,,248.03333333333333,1.7220788470785984,227.04166666666666,1.781365736980727,50.86666666666667,2.414999424890661,0.4716188435966138,0.0022219208628558762,0.4317001715005449,0.0016809882840964116,0.0966809830012765,0.003668374358556462,27.0,0.0,202.75833333333333,2.1679323226419123,248.03333333333333,1.7220788470785984,228.225,1.6044858989720037,117.975,0.4370831347314452,208.625,0.4841229182759271,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,,
A_pH_test_dataset/benchmark_test/37.jpg,A_pH_test_dataset,benchmark_test,37.jpg,e5cb3ccacc59b1fc683b5f4b3c3c87ce,282,501,dataset_annotation,126,194,8,15,1,5.609,130.7915870386886,81.93333556042674,615.1814671425462,120,209.825,0.0,GOOD,,252.15,1.1302654555457314,219.21666666666667,1.2327701416818229,50.59166666666667,1.2416107369953846,0.48308728639958504,0.0014096905327575732,0.41998986461987814,0.0015517018531582263,0.09692284706463108,0.00217053223975821,25.0,0.0,203.71666666666667,1.2726830800408333,252.15,1.1302654555457314,224.25,1.1492751338706209,123.60833333333333,0.581604581213808,207.28333333333333,0.5654398484562458,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,,
A_pH_test_dataset/benchmark_test/38.jpg,A_pH_test_dataset,benchmark_test,38.jpg,6d58f419a152e687d84041ab1f329764,282,501,dataset_annotation,124,194,8,15,1,5.609,130.66527937033734,82.06865041825714,612.1787367445434,120,210.81666666666666,0.0,GOOD,,252.54166666666666,1.3958022384596211,220.93333333333334,1.27627931460511,50.09166666666667,1.4548529899004305,0.48235449775523165,0.002070146362873065,0.42198171265642803,0.0017440824139171945,0.09566378767829435,0.002331280863995986,25.266666666666666,0.4422166387140533,204.40833333333333,1.4053222248137809,252.54166666666666,1.3958022384596211,225.40833333333333,0.8803014004053132,122.8,0.7916228058025278,207.975,0.5394827769879837,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,,
A_pH_test_dataset/benchmark_test/39.jpg,A_pH_test_dataset,benchmark_test,39.jpg,b5ef88f94f535e29d52ac72b1f7190a4,282,501,dataset_annotation,124,196,8,15,1,6.516,130.5028736852536,81.9534445689802,610.8354582277009,120,209.3,0.0,GOOD,,222.35,4.574658457196559,231.225,4.384560981443866,61.666666666666664,5.120763831912406,0.4316223725244768,0.0032208076838665454,0.44886921455616174,0.003918101461707013,0.11950841097711683,0.006788520274454637,31.816666666666666,0.38693955887479664,187.05833333333334,4.410774371417739,231.225,4.384560981443866,225.96666666666667,3.8921573566453977,105.74166666666666,0.7011399448200211,203.81666666666666,0.4651761912317621,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,,
A_pH_test_dataset/benchmark_test/40.jpg,A_pH_test_dataset,benchmark_test,40.jpg,049a21f391abffff081dc4ed55980c00,282,501,dataset_annotation,125,196,8,15,1,6.516,131.99308475248085,82.11654597807245,620.3067986015873,120,207.51666666666668,0.0,GOOD,,220.58333333333334,1.4409680388158819,231.16666666666666,1.946506842754191,52.916666666666664,2.174025963250873,0.43710528478426414,0.002275279381255447,0.45806855727156254,0.0019463910411505361,0.10482615596247205,0.003397046686319836,31.908333333333335,0.28855482821967976,196.69166666666666,2.0808485181664613,231.16666666666666,1.946506842754191,225.425,1.5311351997782559,104.41666666666667,0.626941429126801,206.18333333333334,0.5161287522400674,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,,
A_pH_test_dataset/benchmark_test/41.jpg,A_pH_test_dataset,benchmark_test,41.jpg,948f352131f5fa9809dab068959c1bb0,282,501,dataset_annotation,124,194,8,15,1,6.516,131.32672951968402,81.91111561039072,613.665483031514,120,207.125,0.0,GOOD,,220.65833333333333,2.3291480321258144,230.68333333333334,2.496608811078651,50.31666666666667,2.469761571938114,0.43987777661531485,0.0017479451066510754,0.4598642761236597,0.00250020325243134,0.1002579452672653,0.003713476381332188,31.583333333333332,0.4930066485916346,199.44166666666666,2.3302211387667815,230.68333333333334,2.496608811078651,225.1,2.146314670934033,104.59166666666667,0.49152540343528756,206.925,0.5190134873006674,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,,
