dataset,status,root,n_files,n_images,n_annotation_files,n_image_records,n_labelled,n_unlabelled,n_tabular_rows,pH_min,pH_max,unique_pH,RGB_available,ROI_available,groundtruth_pH_available,metadata_available,file_extensions,resolutions,duplicate_file_groups,duplicate_files
A_pH_test_dataset,OK,processed/pH_test_dataset,758,744,2,372,371,1,0,2.84,8.565,105,yes (from pixels),yes (position+rect in tags.json),yes,subset/device folder names only,"{'.jpg': np.int64(744), '.json': np.int64(14)}","{'563x1001': np.int64(186), '750x1000': np.int64(114), '282x501': np.int64(72)}",19,352
B_colorimetric_reader,OK,processed/colorimetric_reader,216,183,1,87,87,0,0,5.0,8.565,50,yes (from pixels),yes (position+rect in tags.json),yes,subset/device folder names only,"{'.jpg': np.int64(183), '.py': np.int64(12), '.stl': np.int64(7), '.json': np.int64(5), '.dwg': np.int64(5), '.md': np.int64(1)}",{'563x1001': np.int64(87)},2,84
C_tabular,OK,ph-data.csv,1,0,0,0,653,0,653,0.0,14.0,15,yes (columns),no,yes,none,{'.csv': 1},{},0,206
